Date,Open,High,Low,Close,Adj Close,Volume
2019-03-19,686.000000,693.799988,675.099976,689.400024,679.917236,2331409
2019-03-20,689.000000,694.349976,676.150024,678.599976,669.265747,2369729
2019-03-22,678.700012,684.500000,670.000000,678.799988,669.463013,2770303
2019-03-25,672.000000,675.000000,663.400024,664.599976,655.458313,2337486
2019-03-26,664.650024,672.400024,661.000000,669.599976,660.389526,2434715
2019-03-27,672.049988,672.650024,658.549988,660.049988,650.970886,2426853
2019-03-28,659.049988,662.750000,653.599976,655.950012,646.927307,3910004
2019-04-01,678.150024,689.000000,659.000000,660.900024,651.809265,5458057
2019-04-02,665.000000,670.900024,661.450012,668.599976,659.403259,3802792
2019-04-03,672.799988,676.750000,656.900024,658.450012,649.392944,2745080
2019-04-04,661.000000,662.700012,651.200012,653.349976,644.363037,3684739
2019-04-05,657.500000,663.000000,654.000000,658.200012,649.146362,2694077
2019-04-08,660.400024,668.349976,658.299988,667.000000,657.825317,3413270
2019-04-09,667.799988,669.799988,660.450012,667.849976,658.663574,2401571
2019-04-10,672.599976,675.000000,663.099976,670.250000,661.030640,2499060
2019-04-11,669.299988,679.750000,669.299988,672.750000,663.496216,4863931
2019-04-12,674.000000,679.500000,667.549988,678.200012,668.871277,3302657
2019-04-15,680.000000,686.000000,673.299988,683.200012,673.802490,2408677
2019-04-16,687.250000,695.500000,684.799988,688.099976,678.635071,3002929
2019-04-18,689.599976,691.950012,681.250000,684.650024,675.232544,2996875
2019-04-22,681.000000,685.750000,670.900024,673.400024,664.137329,1483513
2019-04-23,671.000000,675.849976,663.750000,665.750000,656.592529,3248237
2019-04-24,668.000000,669.200012,662.250000,668.150024,658.959534,2247998
2019-04-25,671.799988,673.000000,664.000000,665.150024,656.000793,3169504
2019-04-26,666.599976,668.400024,651.500000,659.450012,650.379211,3632433
2019-04-30,659.700012,662.200012,640.000000,645.299988,636.423767,5042085
2019-05-02,646.000000,660.700012,635.200012,645.900024,637.015564,3007579
2019-05-03,645.049988,652.500000,642.849976,645.799988,636.916931,2330580
2019-05-06,640.000000,645.000000,635.099976,638.500000,629.717346,1498420
2019-05-07,641.750000,642.900024,634.200012,636.000000,627.251709,3160875
2019-05-08,635.549988,637.000000,619.000000,621.650024,613.099121,3853705
2019-05-09,620.900024,627.950012,616.099976,625.450012,616.846863,1366143
2019-05-10,626.250000,631.849976,619.000000,628.750000,620.101440,2093110
2019-05-13,628.700012,628.700012,615.000000,617.599976,609.104797,1463136
2019-05-14,616.900024,620.549988,610.549988,614.250000,605.800903,2756314
2019-05-15,618.000000,628.400024,606.950012,609.650024,601.264221,2805369
2019-05-16,610.000000,612.650024,597.200012,605.250000,596.924683,1940170
2019-05-17,607.000000,622.500000,607.000000,619.650024,611.126648,2599966
2019-05-20,635.000000,662.500000,632.250000,653.250000,644.264465,4938702
2019-05-21,660.000000,662.700012,634.400024,639.150024,630.358398,2150188
2019-05-22,643.849976,643.849976,631.250000,640.549988,631.739136,1458607
2019-05-23,650.000000,655.000000,635.099976,639.500000,630.703613,3161573
2019-05-24,644.750000,667.500000,637.849976,665.450012,656.296631,3165620
2019-05-27,667.700012,683.000000,665.000000,679.349976,670.005432,2987573
2019-05-28,680.000000,682.250000,667.250000,670.549988,661.326477,5411769
2019-05-29,668.000000,677.500000,660.849976,672.150024,662.904480,5418102
2019-05-30,660.000000,667.500000,656.349976,661.700012,652.598206,5394745
2019-05-31,659.700012,665.950012,645.099976,647.049988,638.149719,4226041
2019-06-03,647.049988,659.000000,635.049988,653.400024,644.412415,4170532
2019-06-04,654.799988,659.400024,647.799988,650.750000,641.798828,1640476
2019-06-06,654.299988,655.500000,631.349976,634.099976,625.377869,3846513
2019-06-07,640.000000,645.700012,630.049988,644.049988,635.190979,2173168
2019-06-10,643.400024,649.400024,638.200012,646.950012,638.051147,2306052
2019-06-11,647.950012,647.950012,636.000000,636.849976,628.090027,2274832
2019-06-12,633.000000,638.900024,629.450012,632.200012,623.504028,1734002
2019-06-13,632.000000,642.700012,628.099976,641.049988,632.232239,2141936
2019-06-14,640.049988,641.000000,633.400024,637.250000,628.484558,1338649
2019-06-17,641.000000,641.950012,622.250000,625.049988,616.452332,2647789
2019-06-18,624.000000,629.799988,620.099976,625.900024,617.290710,2252507
2019-06-19,629.849976,632.349976,608.000000,615.150024,606.688538,2316163
2019-06-20,614.799988,630.950012,611.250000,627.150024,618.523499,2283701
2019-06-21,627.000000,633.450012,622.250000,627.450012,618.819336,2713987
2019-06-24,626.000000,637.000000,626.000000,634.849976,626.117554,2166403
2019-06-25,635.000000,644.650024,635.000000,641.650024,632.824036,3352119
2019-06-26,640.000000,647.500000,640.000000,643.500000,634.648560,2124949
2019-06-27,645.000000,660.799988,645.000000,657.900024,648.850525,3744033
2019-06-28,659.799988,662.450012,651.500000,655.349976,646.335571,3503838
2019-07-01,657.299988,663.450012,654.450012,660.000000,650.921631,3547891
2019-07-02,661.000000,668.500000,656.299988,666.250000,657.085632,2275170
2019-07-03,668.950012,675.000000,663.299988,669.250000,660.044373,2615478
2019-07-04,671.500000,674.200012,665.299988,672.150024,662.904480,1777421
2019-07-05,672.000000,675.299988,638.500000,642.049988,633.218506,3039710
2019-07-08,640.349976,645.200012,626.200012,635.849976,627.103760,3903971
2019-07-09,632.000000,638.500000,630.000000,632.700012,623.997131,1260744
2019-07-10,630.000000,636.099976,619.099976,621.650024,613.099121,2081711
2019-07-11,625.400024,635.650024,623.599976,634.150024,625.427185,1399434
2019-07-12,634.099976,637.000000,628.500000,631.900024,623.208130,1806912
2019-07-15,632.049988,638.000000,625.450012,631.849976,623.158813,2223638
2019-07-16,624.700012,627.900024,618.849976,622.900024,614.331970,3177195
2019-07-17,623.000000,626.450012,615.299988,617.950012,609.450012,1881478
2019-07-18,613.900024,616.450012,595.000000,597.400024,597.400024,4915489
2019-07-19,601.150024,601.500000,570.000000,571.299988,571.299988,6294798
2019-07-22,571.299988,576.700012,559.900024,564.900024,564.900024,4198301
2019-07-23,566.099976,567.000000,555.849976,559.099976,559.099976,4805198
2019-07-24,557.000000,557.900024,546.000000,550.000000,550.000000,3041526
2019-07-25,550.000000,553.000000,541.900024,547.549988,547.549988,4763735
2019-07-26,545.900024,566.400024,545.000000,564.450012,564.450012,5063750
2019-07-29,564.000000,565.000000,552.150024,553.150024,553.150024,2984154
